[2023-05-07 21:19:08,668][root][INFO] - FS-LSTM, run 1/1, train, Epoch 42/100, train RMSE: 0.5009691212886778, duration: 0.0735013484954834s
[2023-05-07 21:19:08,750][root][INFO] - FS-LSTM, run 1/1, train, Epoch 43/100, train RMSE: 0.5009110529280317, duration: 0.07405447959899902s
[2023-05-07 21:19:08,840][root][INFO] - FS-LSTM, run 1/1, train, Epoch 44/100, train RMSE: 0.5008617544705258, duration: 0.08336901664733887s
[2023-05-07 21:19:08,927][root][INFO] - FS-LSTM, run 1/1, train, Epoch 45/100, train RMSE: 0.5008192817762137, duration: 0.07749724388122559s
[2023-05-07 21:19:09,023][root][INFO] - FS-LSTM, run 1/1, train, Epoch 46/100, train RMSE: 0.5007821326421241, duration: 0.08864998817443848s
[2023-05-07 21:19:09,107][root][INFO] - FS-LSTM, run 1/1, train, Epoch 47/100, train RMSE: 0.5007491536542416, duration: 0.07498717308044434s
[2023-05-07 21:19:09,190][root][INFO] - FS-LSTM, run 1/1, train, Epoch 48/100, train RMSE: 0.5007194647561001, duration: 0.07673025131225586s
[2023-05-07 21:19:09,271][root][INFO] - FS-LSTM, run 1/1, train, Epoch 49/100, train RMSE: 0.5006924024355132, duration: 0.07406997680664062s
[2023-05-07 21:19:09,357][root][INFO] - FS-LSTM, run 1/1, train, Epoch 50/100, train RMSE: 0.5006674458481212, duration: 0.0788426399230957s
[2023-05-07 21:19:09,446][root][INFO] - FS-LSTM, run 1/1, train, Epoch 51/100, train RMSE: 0.5006442236845039, duration: 0.07808589935302734s
[2023-05-07 21:19:09,526][root][INFO] - FS-LSTM, run 1/1, train, Epoch 52/100, train RMSE: 0.5006224240760124, duration: 0.07357645034790039s
[2023-05-07 21:19:09,608][root][INFO] - FS-LSTM, run 1/1, train, Epoch 53/100, train RMSE: 0.5006018405440238, duration: 0.07409119606018066s
[2023-05-07 21:19:09,694][root][INFO] - FS-LSTM, run 1/1, train, Epoch 54/100, train RMSE: 0.5005822784730658, duration: 0.07732653617858887s
[2023-05-07 21:19:09,775][root][INFO] - FS-LSTM, run 1/1, train, Epoch 55/100, train RMSE: 0.5005636274132068, duration: 0.07429027557373047s
[2023-05-07 21:19:09,855][root][INFO] - FS-LSTM, run 1/1, train, Epoch 56/100, train RMSE: 0.5005457666858546, duration: 0.07333946228027344s
[2023-05-07 21:19:09,936][root][INFO] - FS-LSTM, run 1/1, train, Epoch 57/100, train RMSE: 0.5005286206726091, duration: 0.07375025749206543s
[2023-05-07 21:19:10,016][root][INFO] - FS-LSTM, run 1/1, train, Epoch 58/100, train RMSE: 0.5005121171439136, duration: 0.07226824760437012s
[2023-05-07 21:19:10,107][root][INFO] - FS-LSTM, run 1/1, train, Epoch 59/100, train RMSE: 0.5004962102281878, duration: 0.08218193054199219s
[2023-05-07 21:19:10,215][root][INFO] - FS-LSTM, run 1/1, train, Epoch 60/100, train RMSE: 0.5004808395842663, duration: 0.09908056259155273s
[2023-05-07 21:19:10,304][root][INFO] - FS-LSTM, run 1/1, train, Epoch 61/100, train RMSE: 0.500465978039093, duration: 0.07813477516174316s
[2023-05-07 21:19:10,397][root][INFO] - FS-LSTM, run 1/1, train, Epoch 62/100, train RMSE: 0.500451581400243, duration: 0.08501315116882324s
[2023-05-07 21:19:10,489][root][INFO] - FS-LSTM, run 1/1, train, Epoch 63/100, train RMSE: 0.5004376173793285, duration: 0.08462285995483398s
[2023-05-07 21:19:10,570][root][INFO] - FS-LSTM, run 1/1, train, Epoch 64/100, train RMSE: 0.5004240724001918, duration: 0.07408857345581055s
[2023-05-07 21:19:10,651][root][INFO] - FS-LSTM, run 1/1, train, Epoch 65/100, train RMSE: 0.5004109039570758, duration: 0.07383847236633301s
[2023-05-07 21:19:10,745][root][INFO] - FS-LSTM, run 1/1, train, Epoch 66/100, train RMSE: 0.5003981010190794, duration: 0.0865180492401123s
[2023-05-07 21:19:10,836][root][INFO] - FS-LSTM, run 1/1, train, Epoch 67/100, train RMSE: 0.5003856312823888, duration: 0.08304452896118164s
[2023-05-07 21:19:10,918][root][INFO] - FS-LSTM, run 1/1, train, Epoch 68/100, train RMSE: 0.5003734939210553, duration: 0.0756373405456543s
[2023-05-07 21:19:10,999][root][INFO] - FS-LSTM, run 1/1, train, Epoch 69/100, train RMSE: 0.5003616481170529, duration: 0.07280158996582031s
[2023-05-07 21:19:11,079][root][INFO] - FS-LSTM, run 1/1, train, Epoch 70/100, train RMSE: 0.5003500904874928, duration: 0.07346153259277344s
[2023-05-07 21:19:11,173][root][INFO] - FS-LSTM, run 1/1, train, Epoch 71/100, train RMSE: 0.5003387989284688, duration: 0.08545374870300293s
[2023-05-07 21:19:11,272][root][INFO] - FS-LSTM, run 1/1, train, Epoch 72/100, train RMSE: 0.5003277598430013, duration: 0.09054970741271973s
[2023-05-07 21:19:11,358][root][INFO] - FS-LSTM, run 1/1, train, Epoch 73/100, train RMSE: 0.5003169519739151, duration: 0.07659435272216797s
[2023-05-07 21:19:11,440][root][INFO] - FS-LSTM, run 1/1, train, Epoch 74/100, train RMSE: 0.5003063795910624, duration: 0.07455039024353027s
[2023-05-07 21:19:11,526][root][INFO] - FS-LSTM, run 1/1, train, Epoch 75/100, train RMSE: 0.5002960078187372, duration: 0.0777738094329834s
[2023-05-07 21:19:11,607][root][INFO] - FS-LSTM, run 1/1, train, Epoch 76/100, train RMSE: 0.5002858375204248, duration: 0.07338285446166992s
[2023-05-07 21:19:11,698][root][INFO] - FS-LSTM, run 1/1, train, Epoch 77/100, train RMSE: 0.5002758482838033, duration: 0.08336257934570312s
[2023-05-07 21:19:11,780][root][INFO] - FS-LSTM, run 1/1, train, Epoch 78/100, train RMSE: 0.5002660460770136, duration: 0.07443094253540039s
[2023-05-07 21:19:11,878][root][INFO] - FS-LSTM, run 1/1, train, Epoch 79/100, train RMSE: 0.5002563985708276, duration: 0.08887958526611328s
[2023-05-07 21:19:11,967][root][INFO] - FS-LSTM, run 1/1, train, Epoch 80/100, train RMSE: 0.500246903220972, duration: 0.08131814002990723s
[2023-05-07 21:19:12,055][root][INFO] - FS-LSTM, run 1/1, train, Epoch 81/100, train RMSE: 0.5002375600361111, duration: 0.0790560245513916s
[2023-05-07 21:19:12,138][root][INFO] - FS-LSTM, run 1/1, train, Epoch 82/100, train RMSE: 0.5002283494493286, duration: 0.07549166679382324s
[2023-05-07 21:19:12,235][root][INFO] - FS-LSTM, run 1/1, train, Epoch 83/100, train RMSE: 0.5002192663612189, duration: 0.08799052238464355s
[2023-05-07 21:19:12,320][root][INFO] - FS-LSTM, run 1/1, train, Epoch 84/100, train RMSE: 0.5002103048207693, duration: 0.07838177680969238s
[2023-05-07 21:19:12,415][root][INFO] - FS-LSTM, run 1/1, train, Epoch 85/100, train RMSE: 0.5002014495137769, duration: 0.08675909042358398s
[2023-05-07 21:19:12,523][root][INFO] - FS-LSTM, run 1/1, train, Epoch 86/100, train RMSE: 0.5001927021482176, duration: 0.09988141059875488s
[2023-05-07 21:19:12,616][root][INFO] - FS-LSTM, run 1/1, train, Epoch 87/100, train RMSE: 0.5001840465573043, duration: 0.08301019668579102s
[2023-05-07 21:19:12,696][root][INFO] - FS-LSTM, run 1/1, train, Epoch 88/100, train RMSE: 0.5001754870017823, duration: 0.07230234146118164s
[2023-05-07 21:19:12,776][root][INFO] - FS-LSTM, run 1/1, train, Epoch 89/100, train RMSE: 0.5001670115696338, duration: 0.07349324226379395s
[2023-05-07 21:19:12,860][root][INFO] - FS-LSTM, run 1/1, train, Epoch 90/100, train RMSE: 0.5001586049430874, duration: 0.07597494125366211s
[2023-05-07 21:19:12,946][root][INFO] - FS-LSTM, run 1/1, train, Epoch 91/100, train RMSE: 0.5001502773404815, duration: 0.07838320732116699s
[2023-05-07 21:19:13,026][root][INFO] - FS-LSTM, run 1/1, train, Epoch 92/100, train RMSE: 0.5001420185507259, duration: 0.07357549667358398s
[2023-05-07 21:19:13,107][root][INFO] - FS-LSTM, run 1/1, train, Epoch 93/100, train RMSE: 0.5001338149569563, duration: 0.0739586353302002s
[2023-05-07 21:19:13,188][root][INFO] - FS-LSTM, run 1/1, train, Epoch 94/100, train RMSE: 0.5001256657106076, duration: 0.07409477233886719s
[2023-05-07 21:19:13,278][root][INFO] - FS-LSTM, run 1/1, train, Epoch 95/100, train RMSE: 0.5001175725169262, duration: 0.08184027671813965s
[2023-05-07 21:19:13,359][root][INFO] - FS-LSTM, run 1/1, train, Epoch 96/100, train RMSE: 0.5001095217576985, duration: 0.0738525390625s
[2023-05-07 21:19:13,447][root][INFO] - FS-LSTM, run 1/1, train, Epoch 97/100, train RMSE: 0.5001015134349736, duration: 0.08132314682006836s
[2023-05-07 21:19:13,547][root][INFO] - FS-LSTM, run 1/1, train, Epoch 98/100, train RMSE: 0.5000935441454476, duration: 0.08893871307373047s
[2023-05-07 21:19:13,627][root][INFO] - FS-LSTM, run 1/1, train, Epoch 99/100, train RMSE: 0.5000856062288442, duration: 0.07393050193786621s
[2023-05-07 21:19:13,707][root][INFO] - FS-LSTM, run 1/1, train, Epoch 100/100, train RMSE: 0.5000776971325696, duration: 0.0730280876159668s
[2023-05-07 21:19:13,723][root][INFO] - Test RMSE: 0.49843396443105176, Test MAE: 0.5446658134460449, Test MAPE: 408.87365341186523, duration: 0.008411645889282227s
[2023-05-07 21:19:13,723][root][INFO] - ----------------------------------------------
[2023-05-07 21:19:13,723][root][INFO] - Average train RMSE for run 1/1, 0.532417361646
[2023-05-07 21:19:13,723][root][INFO] - Average test RMSE for run 1/1,[[0.49843396]]
[2023-05-07 21:19:13,723][root][INFO] - ----------------------------------------------
[2023-05-07 21:19:13,723][root][INFO] - For all runs, average train RMSE 0.532417361646
[2023-05-07 21:19:13,724][root][INFO] - For all runs, Average test RMSE [[0.49843396]]
